network,nodes,edges,real rand auc,real attack auc,fin theory rand auc,fin theory attack auc
AmadMyJn12-27.adj,7,6,0.6245714285714283,0.4825396825396825,0.5934696718276644,0.39617694643083895
AmadMyJn12-28.adj,48,96,0.6785448919008011,0.25831389519299464,0.7045934962376068,0.29259972823303854
AmadMyJn12-36.adj,19,32,0.6991356442548392,0.3579719271669735,0.7090208814306845,0.3663263391436187
AmadMyJn12-5.adj,34,62,0.6517691998932886,0.31492415306860844,0.6946504767295799,0.30823686747757134
AmadMyJn12-50.adj,16,27,0.7402362556425055,0.44451925389425384,0.7237597365279091,0.3947522841850119
AmadMyJn12-51.adj,15,19,0.678432910299577,0.3582045115378449,0.6324842484470272,0.3385189594427939
Amador10-25.adj,31,46,0.5975762802972332,0.3291605437681625,0.6261107759571775,0.27286309111333734
Amador10-26.adj,13,14,0.6093570873570873,0.35371295371295375,0.5909616514470807,0.32769204276915304
Amador10-27.adj,44,81,0.6232586959785223,0.28248087424690654,0.6816805548839483,0.28265115203313185
Amador10-28.adj,33,51,0.5827128330166529,0.3080278107556264,0.6368808851465069,0.27436577709379123
Amador10-29.adj,42,59,0.47018659706811367,0.2350162287327074,0.581531546605899,0.2300005642830718
Amador10-30.adj,31,46,0.5609461870701667,0.28145661021102647,0.6261107759571775,0.27286309111333734
Amador10-31.adj,27,41,0.6470330585176857,0.3015423498709719,0.6457226288778439,0.2941086014404645
Amador10-32.adj,7,7,0.6588571428571428,0.4222222222222222,0.6359716044852608,0.42198038035827656
Amador10-33.adj,15,16,0.5412539016539017,0.33907031240364577,0.5708511626512147,0.30463133585908186
Amador10-34.adj,40,82,0.6583929934829342,0.3492103781565941,0.7227345159292529,0.3170521743357648
Amador10-35.adj,34,53,0.5798017059608154,0.3310606098577239,0.6384670097606329,0.2734930133535334
Amador10-42.adj,11,10,0.5482227032227033,0.4485329485329485,0.5553983164217324,0.32675078919499634
Amador10-43.adj,4,5,0.725,0.625,0.7205159792395833,0.6194081948645833
Amador10-62.adj,13,15,0.5816095016095015,0.35782735782735786,0.6148260627944045,0.3417187937293514
Amador10-63.adj,44,67,0.5372017688349148,0.29278079953840724,0.6109399910962788,0.24178127490524082
BHGB10-18.adj,26,31,0.5652064881372988,0.2871536973947486,0.5548163812314428,0.2501680241051895
BHGB10-19.adj,24,34,0.6620194634496397,0.3188800042740961,0.6302199120916123,0.2951321759802991
BHGB10-20.adj,25,30,0.5531727291926053,0.2701166171837864,0.560566968822731,0.2553936811154602
BHGB10-21.adj,48,88,0.6704291911697626,0.2628936027662787,0.6750574170193385,0.2732168220971528
BHGB10-42.adj,9,8,0.5858906525573191,0.4601410934744268,0.5740916072360376,0.35702644570019987
